Ensembl_ID,Protein_Accession,Gene,Gene_Description,K198R_S,K198R_M,R47G,D156E,pval_K198Rs,pval_K198Rm,pval_R47G,pval_D156E
ENSG00000002586,P14209,CD99,CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082],1.966089721,0.571554643,-0.502895045,-0.295546634,0.000716897,0.036667763,0.085352595,0.205135894
ENSG00000002746,Q76N89,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]",-1.00039994,-0.725455363,-0.178783642,-0.223184895,0.027548948,0.112008118,0.474388069,0.37700574
ENSG00000002822,Q9Y6D9,MAD1L1,mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762],-1.35412477,-1.143348569,-0.445868937,-0.484429341,0.001314788,0.00713062,0.055165409,0.065377979
ENSG00000002834,Q14847,LASP1,LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513],-2.265708519,-0.506999923,-0.739298141,-0.57019869,0.006063704,0.152834812,0.101675422,0.121219591
ENSG00000003056,P20645,M6PR,"mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]",-0.422434617,-0.1784125,-0.058198301,-0.189012405,0.000682309,0.046824637,0.319195072,0.090194266
ENSG00000003096,Q9P2N7,KLHL13,kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931],0.521166772,-0.014504604,0.136248614,0.096876911,0.002870234,0.972380525,0.345572709,0.421973859
ENSG00000003509,Q7L592,NDUFAF7,NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816],0.657044221,0.1616984,-0.120120897,-0.20617323,0.001327729,0.425926507,0.36375412,0.131865529
ENSG00000003756,P52756,RBM5,RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902],0.043260843,-0.324959577,-0.093826393,0.096085424,0.19451369,0.225389191,0.979361675,0.349014379
ENSG00000004059,P84085,ARF5,ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658],-0.07184684,0.441125809,0.471731412,0.090460768,0.252975673,0.00834524,0.021876011,0.796047267
ENSG00000004139,Q6SZW1,SARM1,sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074],-0.217117215,-0.193831293,0.221100198,-0.226089161,0.020283419,0.07652844,0.250022196,0.075433528
ENSG00000004142,Q9Y2S7,POLDIP2,DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781],0.46239415,-0.171583454,0.037379417,0.175545942,0.003580545,0.346425588,0.662338863,0.141925951
ENSG00000004399,Q9Y4D7,PLXND1,plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107],-1.793794021,-0.595742815,-1.097034033,0.712306405,0.010514516,0.142864176,0.075261094,0.074772278
ENSG00000004455,P54819,AK2,adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362],0.604199634,0.22631213,0.041933494,-0.023388954,0.00214005,0.148512676,0.908422838,0.690948994
ENSG00000004478,Q02790,FKBP4,FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720],1.204158302,-0.036118008,0.190881945,0.071168445,2.26E-05,0.257139973,0.061721786,0.176079229
ENSG00000004487,O60341,KDM1A,lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079],1.096479813,-0.181537372,0.220761052,0.330548731,0.000436329,0.519265846,0.189946434,0.089444865
ENSG00000004534,P78332,RBM6,RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903],0.128109889,-0.124182132,0.044386051,0.300385998,0.375061821,0.653843217,0.681381965,0.099830503
ENSG00000004660,Q8N5S9,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469],-2.90987521,-1.162865686,0.211266235,-0.127033885,0.000285726,0.013846141,0.205769989,0.755755132
ENSG00000004700,P46063,RECQL,RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948],-0.031557588,-0.419076426,0.227587284,0.155372452,0.84457363,0.358830161,0.304794759,0.382773054
ENSG00000004766,Q96JG6,VPS50,VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956],0.05950044,0.148370105,0.167207494,-0.075982386,0.654839201,0.244696677,0.234181992,0.44207907
ENSG00000004776,O14558,HSPB6,heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511],-2.163474861,0.589596792,-0.608740446,-0.714717816,0.008925521,0.119375538,0.155974448,0.114881402
ENSG00000004779,H3BNK3,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694],4.135103527,0.051794172,0.080445268,-0.585385877,0.004631862,0.99099212,0.966714058,0.152109669
ENSG00000004864,Q9UJS0,SLC25A13,solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983],1.529502815,-0.085587786,-0.061596375,-0.247089104,8.59E-05,0.143489693,0.519174741,0.031823594
ENSG00000004866,E9PCV1,ST7,suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351],0.01712018,0.50733412,0.550248858,0.493008919,0.560415346,0.011280735,0.186317144,0.031000276
ENSG00000004897,G5EA36,CDC27,cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728],0.232261029,-0.437304064,-0.12550633,0.187902003,0.133521636,0.262832928,0.853798899,0.259549168
ENSG00000004961,P53701,HCCS,holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837],0.378763816,-0.089794694,-0.355864174,-0.151725441,0.022775181,0.491736442,0.09820185,0.263595255
ENSG00000004975,O14641,DVL2,dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086],1.438174006,0.343246859,-0.640172036,0.274744216,0.000204563,0.302507001,0.112445626,0.441706908
ENSG00000005007,Q92900,UPF1,UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962],-0.050718251,-0.138429733,0.017987553,-0.019668801,0.389187803,0.086805762,0.651071104,0.838746798
ENSG00000005022,P05141,SLC25A5,solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991],0.88897061,-0.135170925,-0.00821096,0.338484789,0.000620919,0.320798993,0.978824788,0.041943627
ENSG00000005059,Q9NWR8,MCUB,mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076],-0.249245822,0.349667987,0.385084956,0.150154286,0.164566434,0.055992201,0.07218897,0.310637127
ENSG00000005075,P52435,POLR2J,RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197],2.355611645,0.259809185,-0.177899997,0.008138185,4.58E-05,0.221474083,0.793604658,0.722177057
ENSG00000005156,P49916,LIG3,DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600],1.929080832,-0.07185907,0.036650947,0.35214169,1.06E-06,0.621407677,0.674970358,0.024748478
ENSG00000005175,Q9H6T3,RPAP3,RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151],0.783865743,-0.095730362,0.051092963,0.059185107,0.000308113,0.629483273,0.476026666,0.412246633
ENSG00000005194,Q6FI81,CIAPIN1,cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050],0.560123931,-0.221785176,-0.176892569,-0.09531062,0.00399143,0.400777645,0.505827207,0.779337596
ENSG00000005206,A0A087WZ50,SPPL2B,signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627],-1.025827477,0.180830207,0.253487941,-0.028087948,0.000498176,0.447979671,0.116000338,0.751258553
ENSG00000005243,Q9P299,COPZ2,COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356],-3.378004698,0.777564609,0.56689246,-0.221474739,0.000204563,0.033796875,0.01931244,0.19988763
ENSG00000005249,P31323,PRKAR2B,protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392],2.0403656,0.955104303,0.333185713,-0.128839363,0.001757075,0.000184313,0.02366068,0.146423651
ENSG00000005339,Q92793,CREBBP,CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348],0.595907523,0.443655623,0.374825546,0.430962467,0.0001079,0.044588501,0.009615243,0.223035982
ENSG00000005436,P16383,GCFC2,GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317],1.790869365,-0.075092551,0.140692894,-0.431969597,1.06E-05,0.844239633,0.393706395,0.111258452
ENSG00000005448,Q9H977,WDR54,WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770],-0.107759484,-0.220015608,-0.276840511,-0.154318009,0.467365729,0.223549238,0.157041668,0.48597294
ENSG00000005469,C9J3D7,CROT,carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366],-0.835190097,0.048759359,0.162161925,-0.006809405,0.005026415,0.911599811,0.427088632,0.856207824
ENSG00000005486,Q6NTF9,RHBDD2,rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082],0.380166277,-0.068674825,0.574860205,-0.141611206,0.044693096,0.941524472,0.050310607,0.853927939
ENSG00000005700,E7EPI0,IBTK,inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853],0.542972018,-0.07305983,-0.376706298,-0.091607299,0.00667575,0.738255686,0.136233615,0.639306933
ENSG00000005810,A0A804HKQ1,MYCBP2,MYC binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23386],-0.595834386,0.174098386,-0.266237801,-0.445575718,0.000712077,0.078633681,0.044222509,0.022570363
ENSG00000005884,P26006,ITGA3,integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139],-1.424853694,-0.310678712,-0.282320038,-0.493214799,0.010774778,0.269298136,0.293490373,0.138097723
ENSG00000005893,P13473,LAMP2,lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501],-0.878404213,0.485893522,0.249801278,-0.235536815,0.035894618,0.203316251,0.584907099,0.381564969
ENSG00000006007,Q9NZC3,GDE1,glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644],-1.200653008,-0.052048411,-0.196429796,-0.098603086,0.00037569,0.98060916,0.331045192,0.690948994
ENSG00000006125,P63010,AP2B1,adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563],-1.412866511,0.036576648,0.099763202,-0.21811199,0.002368413,0.93754035,0.785278384,0.16628212
ENSG00000006451,P11233,RALA,RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839],-0.747422926,0.040691799,0.056406297,0.022065541,0.005635056,0.952345134,0.866646339,0.950233089
ENSG00000006453,Q9UHR4,BAIAP2L1,BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649],0.880402775,-0.822411083,-0.395898954,-0.076748148,0.00978632,0.098595999,0.242354098,0.59376834
ENSG00000006530,E9PC15,AGK,acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869],0.776733209,-0.177043082,-0.362269062,0.016233853,0.001093131,0.096474365,0.029663223,0.984436848
ENSG00000006534,P43353,ALDH3B1,aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410],-1.790665752,0.454953756,-0.430979013,-0.555254321,0.006899927,0.149199277,0.185125204,0.118569498
ENSG00000006607,H7C3M7,FARP2,"FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]",0.234766906,-0.050351061,-0.317387753,-0.068883369,0.061617388,0.632500902,0.085352595,0.495101519
ENSG00000006607,O94887,FARP2,"FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]",-0.068870725,0.419112382,0.141408253,0.255929788,0.391973356,0.099668063,0.771974643,0.330729109
ENSG00000006625,O75223,GGCT,gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705],1.603010746,0.162575247,-0.264239603,-0.070381104,0.000654712,0.118507498,0.115948045,0.289703071
ENSG00000006695,H7C101,COX10,cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260],0.430295643,-0.896467728,-0.332254769,-0.011376324,0.029070746,0.019713057,0.101137842,0.822457671
ENSG00000006712,Q8N7H5,PAF1,"PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]",0.899098253,-0.187537613,0.042881932,0.256988633,0.001256824,0.610560893,0.590012058,0.133642875
ENSG00000006715,P49754,VPS41,VPS41 subunit of HOPS complex [Source:HGNC Symbol;Acc:HGNC:12713],-0.82257371,-0.093549273,-0.114932645,-0.299462568,0.005766452,0.436540787,0.369527967,0.116088502
ENSG00000006744,G5E9D5,ELAC2,elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198],2.216414792,-0.250057882,0.309764102,0.694949786,4.02E-05,0.715216423,0.235328526,0.05746936
ENSG00000006747,Q9Y6U3,SCIN,scinderin [Source:HGNC Symbol;Acc:HGNC:21695],2.866437858,0.312862927,-1.127486964,-0.014354301,0.00010423,0.41534386,0.067252887,0.720183667
ENSG00000006757,P41247,PNPLA4,patatin like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24887],0.118872328,-0.262004767,-0.628845834,0.050586787,0.309425139,0.306566802,0.110534481,0.630738671
ENSG00000007001,O95045,UPP2,uridine phosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:23061],-0.733705288,-0.542520233,-0.986739964,-0.165720774,0.002174447,0.0198174,0.011782184,0.412665576
ENSG00000007080,Q96CT7,CCDC124,coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171],0.086632158,0.198196466,0.353911919,0.099368937,0.167806492,0.06605819,0.024176475,0.201761426
ENSG00000007168,P43034,PAFAH1B1,platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574],-0.600772499,-0.163735855,-0.120789624,-0.114734739,0.000642344,0.171293791,0.277164475,0.15422553
ENSG00000007384,Q96CC6,RHBDF1,rhomboid 5 homolog 1 [Source:HGNC Symbol;Acc:HGNC:20561],-1.097242964,0.183637739,0.020085417,-0.40507959,0.002654408,0.545395966,0.976969135,0.083346463
ENSG00000007392,Q9NQ29,LUC7L,LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723],0.761340319,0.043675484,0.474104647,0.477388246,0.005004494,0.654320155,0.099766684,0.077360995
ENSG00000007520,Q9UJK0,TSR3,TSR3 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175],0.020369156,-0.413538156,-0.011524814,-0.394088799,0.696978856,0.376565936,0.842437756,0.365534792
ENSG00000007866,A0A1X7SBS4,TEAD3,TEA domain transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11716],0.793943048,-0.28332255,-0.102427012,0.465909222,0.003740609,0.32883121,0.987313727,0.046891644
ENSG00000007923,Q9NVH1,DNAJC11,DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570],0.414152266,-0.074775368,-0.117214858,0.165255012,0.000965262,0.131790283,0.067911715,0.092417369
ENSG00000008018,P20618,PSMB1,proteasome 20S subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537],0.006343765,0.283810811,0.50444201,0.088419493,0.985022079,0.071799421,0.05433412,0.295276415
ENSG00000008130,A0A0A0MR98,NADK,NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831],-0.138021889,-0.379140749,-0.254809325,-0.230035971,0.256054871,0.051322771,0.300458102,0.186489853
ENSG00000008226,Q9Y238,DLEC1,DLEC1 cilia and flagella associated protein [Source:HGNC Symbol;Acc:HGNC:2899],-0.789207105,-1.789083589,-1.548704229,0.257761208,0.012642228,0.015379958,0.027749099,0.535600573
ENSG00000008256,O43739,CYTH3,cytohesin 3 [Source:HGNC Symbol;Acc:HGNC:9504],-1.675723062,-0.743697505,-0.057095506,-0.04908119,0.000165003,0.003105312,0.456397303,0.629785366
ENSG00000008282,C9JYN0,SYPL1,synaptophysin like 1 [Source:HGNC Symbol;Acc:HGNC:11507],-0.552241134,0.252717376,0.184658698,-0.211787942,0.00847266,0.125148858,0.331309436,0.144298129
ENSG00000008294,O60271,SPAG9,sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524],-0.372510498,-0.310938796,-0.136141665,-0.17568427,2.90E-05,0.000414419,0.017049836,0.034891178
ENSG00000008311,Q9UDR5,AASS,aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366],1.956841202,0.454287638,-0.507819572,-0.036925495,0.000709032,0.032878191,0.057764384,0.706014357
ENSG00000008394,P10620,MGST1,microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061],-3.703462106,-1.202429471,-0.721503235,-0.896616412,0.000436329,0.007532022,0.025351243,0.028936509
ENSG00000008441,C9JWJ8,NFIX,nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788],-1.798908704,-0.239458716,-0.394808987,-0.14163247,0.003764515,0.392602162,0.194269363,0.592229008
ENSG00000008513,Q11201,ST3GAL1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10862]",-1.45812647,-0.165103262,0.776519635,0.455367197,0.010257127,0.960050482,0.022289537,0.066417501
ENSG00000008838,F5GY88,MED24,mediator complex subunit 24 [Source:HGNC Symbol;Acc:HGNC:22963],0.711108004,0.006795684,0.252056558,0.214448806,0.00024857,0.848132384,0.061055381,0.113761906
ENSG00000008869,Q9P2D3,HEATR5B,HEAT repeat containing 5B [Source:HGNC Symbol;Acc:HGNC:29273],0.262815016,0.187448146,0.338271111,0.240869163,0.00065808,0.069953607,0.038627357,0.05654152
ENSG00000008952,Q99442,SEC62,"SEC62 homolog, preprotein translocation factor [Source:HGNC Symbol;Acc:HGNC:11846]",-1.57881207,-0.15908499,-0.041005946,-0.142291207,8.79E-06,0.016617365,0.23096798,0.120084448
ENSG00000008988,P60866,RPS20,ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405],-0.411733346,-0.219128345,-0.06003224,0.112741541,0.002219736,0.068566004,0.559035446,0.128380827
ENSG00000009307,O75534,CSDE1,cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905],-0.527085062,-0.253447129,0.044594856,0.105620413,0.015872967,0.217982609,0.537946739,0.266923913
ENSG00000009335,Q15386,UBE3C,ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803],-0.476742021,-0.113838397,0.044691387,-0.076271638,0.000185629,0.063388657,0.413395395,0.132195691
ENSG00000009413,O60673,REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]",-2.014698626,0.041586161,-1.124755119,-0.596703192,0.002037972,0.92913797,0.025351243,0.068804435
ENSG00000009780,Q8TAV0,FAM76A,family with sequence similarity 76 member A [Source:HGNC Symbol;Acc:HGNC:28530],-0.16812482,-0.392972173,-0.211361605,-0.031128732,0.141705941,0.046176939,0.170276366,0.709127407
ENSG00000009830,H0YJQ7,POMT2,protein O-mannosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:19743],0.05600753,-0.202484513,-0.000810736,-0.031621222,0.113514965,0.056339503,0.46818201,0.93471274
ENSG00000009844,A0A087WY55,VTA1,vesicle trafficking 1 [Source:HGNC Symbol;Acc:HGNC:20954],0.277689198,-0.100949254,-0.259883976,-0.101568972,0.000657408,0.098759561,0.017071485,0.09553786
ENSG00000009954,Q9UIG0,BAZ1B,bromodomain adjacent to zinc finger domain 1B [Source:HGNC Symbol;Acc:HGNC:961],1.331848831,-0.091872194,0.079855659,0.414326117,8.25E-05,0.65939095,0.399043531,0.041499255
ENSG00000010017,Q96S59,RANBP9,RAN binding protein 9 [Source:HGNC Symbol;Acc:HGNC:13727],0.513755314,0.331423709,0.428496263,0.158485471,0.000771377,0.016837105,0.056671596,0.110488105
ENSG00000010165,Q8N6R0,METTL13,"methyltransferase 13, eEF1A N-terminus and K55 [Source:HGNC Symbol;Acc:HGNC:24248]",0.117118283,0.224605383,0.225729688,0.048725097,0.2478309,0.112008118,0.129885166,0.614044696
ENSG00000010244,X6R4W8,ZNF207,zinc finger protein 207 [Source:HGNC Symbol;Acc:HGNC:12998],0.697017173,-0.172572984,0.180735968,0.231133116,0.00609192,0.697132394,0.330012207,0.214148681
ENSG00000010256,P31930,UQCRC1,ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585],-0.393996024,-0.235679898,-0.250969661,0.051720693,0.001860333,0.021740022,0.024571382,0.571031151
ENSG00000010270,O95772,STARD3NL,STARD3 N-terminal like [Source:HGNC Symbol;Acc:HGNC:19169],-0.198401364,-0.20544844,-0.455821007,-0.565093864,0.328578258,0.453852873,0.228307405,0.153870986
ENSG00000010278,A0A7I2V3T0,CD9,CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709],1.310414367,-0.877956626,0.388003148,-1.626341401,0.003194221,0.013927386,0.078373175,0.009233101
ENSG00000010292,Q15021,NCAPD2,non-SMC condensin I complex subunit D2 [Source:HGNC Symbol;Acc:HGNC:24305],1.12357219,-0.30747283,0.475729517,0.471149574,0.009194725,0.844847553,0.227699155,0.194841915
ENSG00000010295,Q0D2I5,IFFO1,intermediate filament family orphan 1 [Source:HGNC Symbol;Acc:HGNC:24970],-0.102775833,-0.361365999,-0.065631288,-0.343053005,0.526957868,0.249151008,0.906263962,0.111163598
ENSG00000010322,Q9Y2I1,NISCH,nischarin [Source:HGNC Symbol;Acc:HGNC:18006],-0.233705075,0.121541456,-0.04652156,-0.033674328,0.031120743,0.38895458,0.647565188,0.525654664
ENSG00000010438,P35030,PRSS3,serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486],-3.175300228,-1.791011295,-1.305849475,-1.291935035,0.016868907,0.07839097,0.115024278,0.104967309
ENSG00000010810,P06241,FYN,"FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]",0.359038331,-0.472597639,-1.428595671,-0.082365563,0.361214995,0.219328382,0.043957014,0.623827065
ENSG00000011009,Q5QPQ1,LYPLA2,lysophospholipase 2 [Source:HGNC Symbol;Acc:HGNC:6738],1.949831967,0.275182821,-0.064880704,-0.358363704,0.021209825,0.213347172,0.613520181,0.067108838
ENSG00000011028,Q9UBG0,MRC2,mannose receptor C type 2 [Source:HGNC Symbol;Acc:HGNC:16875],-2.249112616,0.490090146,0.092567269,-0.389780029,0.000135336,0.002540527,0.358755786,0.030185941
ENSG00000011052,Q32Q12,NME1-NME2,NME1-NME2 readthrough [Source:HGNC Symbol;Acc:HGNC:33531],0.107473941,0.331810593,0.13266207,-0.080530486,0.078807699,0.004701435,0.081125322,0.183724981
ENSG00000011198,C9JBM3,ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase [Source:HGNC Symbol;Acc:HGNC:21396]",-2.019613057,0.27149981,1.151243831,0.729500101,0.007147288,0.203856452,0.151346214,0.054496607
ENSG00000011243,A0A7P0TAE3,AKAP8L,A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857],0.924084313,-0.253782272,-0.167338782,0.189101794,0.000106018,0.034514605,0.13202239,0.055277876
ENSG00000011260,Q9Y5J1,UTP18,UTP18 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24274],1.34335233,-0.315194533,0.079445266,0.39460831,7.10E-05,0.236296273,0.540730485,0.056872975
ENSG00000011295,Q6DKK2,TTC19,tetratricopeptide repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:26006],1.659378526,-0.040335834,-0.011148722,0.136799097,0.000393416,0.734574246,0.723801565,0.141975585
ENSG00000011304,A6NLN1,PTBP1,polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9583],0.743832072,0.044595057,0.21754588,0.222552174,0.000292718,0.561942049,0.103770132,0.090447301
ENSG00000011332,C8C3P2,DPF1,double PHD fingers 1 [Source:HGNC Symbol;Acc:HGNC:20225],1.927971841,0.073980705,0.200442035,0.164069344,2.61E-05,0.751213956,0.429648141,0.719757192
ENSG00000011376,A0A499FJL2,LARS2,"leucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17095]",0.791011374,1.143517206,1.315174328,1.444398863,0.067283122,0.00591742,0.201535585,0.270929098
